frame_number,musiq_score,niqe_score
0,55.56,4.7
1,55.57,4.7
2,55.56,4.7
3,55.42,4.73
4,55.12,4.74
5,55.17,4.77
6,55.42,4.73
7,55.45,4.74
8,55.42,4.75
9,55.37,4.75
10,55.27,4.74
11,55.4,4.78
12,55.44,4.79
13,55.44,4.79
14,55.5,4.77
