frame_number,musiq_score,niqe_score
0,61.87,4.21
1,61.89,4.25
2,61.75,4.2
3,61.77,4.23
4,61.72,4.23
5,61.8,4.24
6,61.85,4.23
7,61.89,4.27
8,61.94,4.28
9,61.7,4.32
10,61.73,4.31
11,61.7,4.32
12,61.62,4.32
13,61.66,4.37
14,61.87,4.32
